StudentID,LearnerType,Topic,Score
1001,Average,Arrays,73.22988979169203
1001,Average,Linked Lists,63.22988979169203
1001,Average,Sorting,68.22988979169203
1001,Average,Stacks,78.22988979169203
1001,Average,Queues,75.22988979169203
1002,Strong,Arrays,67.07287083590943
1002,Strong,Linked Lists,74.07287083590943
1002,Strong,Sorting,75.07287083590943
1002,Strong,Stacks,74.07287083590943
1002,Strong,Queues,79.07287083590943
1003,Weak,Arrays,9.815056361654538
1003,Weak,Linked Lists,0.0
1003,Weak,Sorting,7.815056361654538
1003,Weak,Stacks,0.8150563616545372
1003,Weak,Queues,3.815056361654537
1004,Strong,Arrays,53.35545349257371
1004,Strong,Linked Lists,55.35545349257371
1004,Strong,Sorting,44.35545349257371
1004,Strong,Stacks,43.35545349257371
1004,Strong,Queues,43.35545349257371
1005,Average,Arrays,26.201529544884686
1005,Average,Linked Lists,38.201529544884686
1005,Average,Sorting,29.201529544884686
1005,Average,Stacks,28.201529544884686
1005,Average,Queues,29.201529544884686
1006,Strong,Arrays,76.10459036215984
1006,Strong,Linked Lists,86.10459036215984
1006,Strong,Sorting,68.10459036215984
1006,Strong,Stacks,76.10459036215984
1006,Strong,Queues,72.10459036215984
1007,Strong,Arrays,73.70593537228957
1007,Strong,Linked Lists,73.70593537228957
1007,Strong,Sorting,77.70593537228957
1007,Strong,Stacks,73.70593537228957
1007,Strong,Queues,70.70593537228957
1008,Average,Arrays,33.00356780791152
1008,Average,Linked Lists,37.00356780791152
1008,Average,Sorting,26.003567807911523
1008,Average,Stacks,38.00356780791152
1008,Average,Queues,30.003567807911523
1009,Strong,Arrays,67.42047973783923
1009,Strong,Linked Lists,77.42047973783923
1009,Strong,Sorting,74.42047973783923
1009,Strong,Stacks,67.42047973783923
1009,Strong,Queues,69.42047973783923
1010,Strong,Arrays,94.33685525824414
1010,Strong,Linked Lists,89.33685525824414
1010,Strong,Sorting,80.33685525824414
1010,Strong,Stacks,83.33685525824414
1010,Strong,Queues,87.33685525824414
1011,Strong,Arrays,53.67929062546286
1011,Strong,Linked Lists,56.67929062546286
1011,Strong,Sorting,57.67929062546286
1011,Strong,Stacks,50.67929062546286
1011,Strong,Queues,51.67929062546286
1012,Weak,Arrays,32.989862976006926
1012,Weak,Linked Lists,29.989862976006926
1012,Weak,Sorting,45.989862976006926
1012,Weak,Stacks,41.989862976006926
1012,Weak,Queues,46.989862976006926
1013,Weak,Arrays,39.0019453718702
1013,Weak,Linked Lists,31.0019453718702
1013,Weak,Sorting,31.0019453718702
1013,Weak,Stacks,42.0019453718702
1013,Weak,Queues,37.0019453718702
